,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
309,AL,53311,Insurance Claims Clerks,2740,10.66,22180,1997
310,AL,53314,Insurance Policy Processing Clerks,1480,10.45,21740,1997
311,AL,53502,Welfare Eligibility Workers and Interviewers,1420,18.49,38450,1997
312,AL,53505,"Investigators, Clerical",50,9.04,18800,1997
313,AL,53508,Bill and Account Collectors,3800,9.73,20240,1997
314,AL,53702,Court Clerks,1130,12.52,26040,1997
315,AL,53705,Municipal Clerks,240,11.87,24690,1997
316,AL,53708,License Clerks,600,9.87,20530,1997
317,AL,53802,Travel Clerks,100,9.56,19880,1997
318,AL,53805,Reservation and Transportation Ticket Agents,1110,10.72,22300,1997
319,AL,53808,Hotel Desk Clerks,2330,6.22,12940,1997
320,AL,53902,Library Assistants and Bookmobile Drivers,1150,7.54,15690,1997
321,AL,53905,"Teacher Aides and Educational Assistants, Clerical",4130,6.52,13560,1997
322,AL,53908,Advertising Clerks,110,8.10,16840,1997
323,AL,53911,Proofreaders and Copy Markers,200,8.84,18390,1997
324,AL,53914,Real Estate Clerks,380,8.67,18020,1997
325,AL,55000,Secretarial and General Office Occupations,**,*,*,1997
326,AL,55102,Legal Secretaries,3660,12.14,25250,1997
327,AL,55105,Medical Secretaries,2820,8.88,18470,1997
328,AL,55108,"Secretaries, Except Legal and Medical",32670,9.63,20040,1997
329,AL,55302,Stenographers and/or Court Reporters,1790,11.40,23700,1997
330,AL,55305,Receptionists and Information Clerks,14110,7.95,16540,1997
331,AL,55307,"Typists, Including Word Processing",3860,9.19,19120,1997
332,AL,55314,"Personnel Clerks, Except Payroll and Timekeeping",1740,11.00,22880,1997
333,AL,55317,Correspondence Clerks,110,8.82,18340,1997
334,AL,55321,File Clerks,2880,7.27,15130,1997
335,AL,55323,"Order Clerks, Materials, Merchandise, and Service",3650,9.50,19760,1997
336,AL,55326,Procurement Clerks,780,10.06,20920,1997
337,AL,55328,Statistical Clerks,500,9.89,20580,1997
338,AL,55332,"Interviewing Clerks, Except Personnel and Social Welfare",1160,7.88,16390,1997
339,AL,55335,"Customer Service Representatives, Utilities",3010,12.14,25250,1997
340,AL,55338,"Bookkeeping, Accounting, and Auditing Clerks",25170,10.08,20970,1997
341,AL,55341,Payroll and Timekeeping Clerks,2390,10.23,21280,1997
342,AL,55344,"Billing, Cost, and Rate Clerks",4640,9.46,19670,1997
343,AL,55347,General Office Clerks,46220,8.55,17780,1997
344,AL,56000,Electronic Data Processing and Other Office Machine Occupations,**,*,*,1997
345,AL,56002,"Billing, Posting, and Calculating Machine Operators",1860,8.88,18470,1997
346,AL,56005,Duplicating Machine Operators,380,8.29,17230,1997
347,AL,56008,"Mail Machine Operators, Preparation and Handling",470,7.43,15460,1997
348,AL,56011,"Computer Operators, Except Peripheral Equipment",2970,10.90,22680,1997
349,AL,56014,Peripheral EDP Equipment Operators,410,10.33,21480,1997
350,AL,56017,"Data Entry Keyers, Except Composing",3910,8.35,17380,1997
351,AL,56021,"Data Keyers, Composing",120,10.56,21960,1997
352,AL,57000,"Communications, Mail, and Message Distributing Occupations",**,*,*,1997
353,AL,57102,Switchboard Operators,2230,7.83,16290,1997
354,AL,57108,Central Office Operators,**,11.49,23890,1997
355,AL,57199,All Other Communications Equipment Operators,50,13.95,29020,1997
356,AL,57302,"Mail Clerks, Except Mail Machine Operators and Postal Service",1660,7.96,16550,1997
357,AL,57305,Postal Mail Carriers,5080,16.15,33600,1997
358,AL,57308,Postal Service Clerks,580,16.33,33970,1997
359,AL,57311,Messengers,1530,7.58,15770,1997
360,AL,58000,"Material Recording, Scheduling, Dispatching, and Distributing Occupations",**,*,*,1997
361,AL,58002,"Dispatchers, Police, Fire, and Ambulance",1610,9.08,18880,1997
362,AL,58005,"Dispatchers, Except Police, Fire, and Ambulance",2130,12.53,26070,1997
363,AL,58008,"Production, Planning, and Expediting Clerks",3280,12.42,25840,1997
364,AL,58011,Transportation Agents,**,11.37,23650,1997
365,AL,58014,"Meter Readers, Utilities",1480,10.94,22750,1997
366,AL,58017,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",760,9.07,18860,1997
367,AL,58021,Marking Clerks,220,7.03,14630,1997
368,AL,58023,"Stock Clerks - Stockroom, Warehouse or Storage Yard",12970,8.57,17820,1997
369,AL,58026,"Order Fillers, Wholesale and Retail Sales",3690,8.10,16850,1997
370,AL,58028,"Shipping, Receiving, and Traffic Clerks",15680,9.69,20160,1997
371,AL,58099,"All Other Material Recording, Scheduling, and Distributing Workers",1670,9.79,20360,1997
372,AL,59000,Other Clerical and Administrative Support Occupations,**,*,*,1997
373,AL,59999,All Other Clerical and Administrative Support Workers,6800,11.87,24690,1997
374,AL,60000,Service Occupations,,,,
375,AL,61000,First-Line Supervisors and Managers/Supervisors - Service Occupations,**,*,*,1997
376,AL,61002,Fire Fighting and Prevention Supervisors,750,15.36,31940,1997
377,AL,61005,Police and Detective Supervisors,1230,19.22,39980,1997
378,AL,61008,Housekeeping Supervisors,1190,8.62,17940,1997
379,AL,61099,All Other Supervisors and Managers/Supervisors - Service Workers,11010,10.26,21350,1997
380,AL,63000,Protective Service Occupations,**,*,*,1997
381,AL,63002,Fire Inspectors,70,15.80,32870,1997
382,AL,63008,Fire Fighters,2150,12.85,26730,1997
383,AL,63011,Police Detectives,490,15.23,31690,1997
384,AL,63014,Police Patrol Officers,3950,12.63,26270,1997
385,AL,63017,Correction Officers and Jailers,5170,11.61,24140,1997
386,AL,63021,Parking Enforcement Officers,60,10.41,21660,1997
387,AL,63023,Bailiffs,170,10.40,21640,1997
388,AL,63028,"Criminal Investigators, Public Service",190,26.43,54980,1997
389,AL,63032,Sheriffs and Deputy Sheriffs,3070,13.36,27790,1997
390,AL,63035,"Detectives and Investigators, Except Public",1200,8.66,18010,1997
391,AL,63044,Crossing Guards,280,5.79,12040,1997
392,AL,63047,Guards and Watch Guards,13400,7.19,14960,1997
393,AL,63099,All Other Protective Service Workers,1040,10.29,21400,1997
394,AL,65000,Food and Beverage Preparation and Service Occupations,**,*,*,1997
395,AL,65002,"Hosts and Hostesses, Restaurant, Lounge, or Coffee Shop",1980,6.26,13010,1997
396,AL,65005,Bartenders,2380,6.20,12890,1997
397,AL,65008,Waiters and Waitresses,22730,5.53,11510,1997
398,AL,65011,"Food Servers, Outside",980,6.78,14110,1997
399,AL,65014,Dining Room and Cafeteria Attendants and Bartender Helpers,4120,6.07,12620,1997
400,AL,65017,"Counter Attendants - Lunchroom, Coffee Shop, or Cafeteria",3000,5.92,12300,1997
401,AL,65021,"Bakers, Bread and Pastry",1430,7.52,15640,1997
402,AL,65023,Butchers and Meat Cutters,2570,9.39,19540,1997
403,AL,65026,"Cooks, Restaurant",8980,6.84,14230,1997
404,AL,65028,"Cooks, Institution or Cafeteria",6650,6.69,13910,1997
405,AL,65032,"Cooks, Fast Food",11540,5.53,11500,1997
406,AL,65035,"Cooks, Short Order",1760,6.65,13820,1997
407,AL,65038,Food Preparation Workers,11900,6.31,13120,1997
408,AL,65041,Combined Food Preparation and Service Workers,27550,5.87,12220,1997
409,AL,65099,All Other Food Service Workers,2270,6.84,14230,1997
410,AL,66000,Health Service and Related Occupations,**,*,*,1997
411,AL,66002,Dental Assistants,2540,8.62,17930,1997
412,AL,66005,Medical Assistants,4090,8.88,18460,1997
413,AL,66008,"Nursing Aides, Orderlies, and Attendants",18110,6.97,14500,1997
414,AL,66011,Home Health Aides,8540,7.56,15710,1997
415,AL,66014,Psychiatric Aides,1910,8.41,17490,1997
416,AL,66017,Physical and Corrective Therapy Assistants and Aides,1200,11.99,24940,1997
417,AL,66021,Occupational Therapy Assistants and Aides,210,17.10,35570,1997
418,AL,66023,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",490,8.54,17750,1997
419,AL,66099,All Other Health Service Workers,4770,8.22,17100,1997
